business_id,name,stars,review_count,address,city,state,category,rank
ROs0p-56kxQL2lgV00c0yQ,South Philly Community Acupuncture,5.0,48,1532 E Passyunk Ave,Philadelphia,PA,Acupuncture,4
2b5E6KcV__gASjHySd_zNw,Massage & Wellness Spa,5.0,47,"118 W Bay Dr, Ste 121",Largo,FL,Acupuncture,5
napCqsXJ-OHFwg-zdwZH7w,Starsiak Osteopathic Clinic,5.0,11,"3955 Eagle Creek Pkwy, Ste A",Indianapolis,IN,Addiction Medicine,1
bgBEAUFngafyWq7qHLyC9A,Benchmark Urgent & Family Care - Metairie,5.0,8,4517 Veterans Blvd,New Orleans,LA,Addiction Medicine,2
AnbdpBtpPmzg7vqhxqxvYA,Northpoint Recovery,5.0,7,10787 W Ustick Rd,Boise,ID,Addiction Medicine,3
weUzlfPnwgT6eH1bDKx1fg,"Jenn Kennedy, LMFT",5.0,5,535 Santa Barbara St,Santa Barbara,CA,Addiction Medicine,4
Jss13Aoo6yssTCFAzb7GVw,Sabino Recovery,4.5,7,8505 E Ocotillo Dr,Tucson,AZ,Addiction Medicine,5
vp_U96uJvudRqUhINhUW4A,"Kirsh & Kirsh, PC",5.0,18,2930 E 96th St,Indianapolis,IN,Adoption Services,1
5yfBd5xaPzmMrkb3D4l0lw,Paws N Claws,4.0,16,2116 Rte 130 N,Burlington,NJ,Adoption Services,2
i1pe-WZLYrwso7HEnazRZg,Hillsborough County Pet Resource Center,3.5,17,440 N Falkenburg Rd,Tampa,FL,Adoption Services,3
0OT8IEWGDi_LjIeZcCrcxQ,Reachout Women's Center,3.0,7,2648 N Campbell Ave,Tucson,AZ,Adoption Services,4
Dre9C0gng2Z2yo57r41uDg,Jellywink Boutique,5.0,23,416 E 7th St,Tucson,AZ,Adult,1
Bwj6EUyjcAr41M8qac4kVQ,The Traveling Tickle Trunk,5.0,18,9923 82 Avenue Northwest,Edmonton,AB,Adult,2
y335FEgchPzPaNeCcs6yZg,Fascinations,5.0,15,4499 W Ina Rd,Tucson,AZ,Adult,3
hRzB-HzjefebGjH1kXBG-w,Spice2Nite,5.0,14,537 Easton Rd Rt 611,Horsham,PA,Adult,4
FjzIKUdgxKCmVtZPNup1WA,Cocoally Vegan Boutique,5.0,10,2041 Magazine St,New Orleans,LA,Adult,5
B2Tuf5M1wQhdwAKnD-w7Yw,New Orleans Airboat Tours,5.0,286,4757 Orleans Way,Marrero,LA,Adult Education,1
uG3-LDsfeAyf02uITS-3Xg,Then Comes Baby,5.0,63,"200 N La Cumbre Rd, Ste H",Santa Barbara,CA,Adult Education,2
iiTApETRW5Ksl5m1MUGRug,Lovewater Surf School,5.0,28,"",Santa Barbara,CA,Adult Education,3
Dre9C0gng2Z2yo57r41uDg,Jellywink Boutique,5.0,23,416 E 7th St,Tucson,AZ,Adult Education,4
-jlQofD5Qu3F4gpNHLsrOw,New Orleans Aerial Tours & Flight Training,5.0,21,5701 Walter Beech St,New Orleans,LA,Adult Education,5
Lnf4hrNTgVcsTsRN-JBkLg,Alvin Lui,5.0,50,"",Indianapolis,IN,Adult Entertainment,1
YHxJjmPj7XJVTBZFdiXw2A,PedalPub St Petersburg,5.0,37,1975 3rd Ave S,St Petersburg,FL,Adult Entertainment,2
nkL5QSkuESYciCImcZDVVQ,Justin Impossible,5.0,33,"780 Smithridge Dr, Ste 450",Reno,NV,Adult Entertainment,3
IOfuOscsvUtTiHMH02yAyg,Pinot's Palette Webster Groves,5.0,15,"20 Allen Ave, Ste 150",Webster Groves,MO,Adult Entertainment,4
hRzB-HzjefebGjH1kXBG-w,Spice2Nite,5.0,14,537 Easton Rd Rt 611,Horsham,PA,Adult Entertainment,5
Fyevl6n13We9CB7ubaUBCA,Amplified Entertainment,5.0,44,"150 Ridge St, Ste A",Reno,NV,Advertising,1
reOkg7KZQQjXbIqBO0GsTw,Doug Ellis Photography,5.0,34,"133 E De La Guerra St, Ste 168",Santa Barbara,CA,Advertising,2
48fmwDs3VXuRrBWcGB-vXw,Pro Motion Communications,5.0,9,"",Carpinteria,CA,Advertising,3
aqI-a2fk7mVtQLHpIMIrSw,Whitespark,5.0,8,"",Edmonton,AB,Advertising,4
mVdlupQ-2SlL6EHZmex0Cw,Allegra of Tucson,5.0,8,"2200 N Wilmot Rd, Ste 200",Tucson,AZ,Advertising,5
HL2NuAsbNZx9hgPEpDltbQ,Santa Barbara Trapeze Company & School,5.0,35,110 E Cota St,Santa Barbara,CA,Aerial Fitness,1
Mdn16IEoRO1xvg36-ZhakA,Seventh Dimension Dance,5.0,32,706 Bond Ave,Santa Barbara,CA,Aerial Fitness,2
C3vrcBXbmQLUFOF6FnC_PA,Awakenings Pole & Aerial Fitness,5.0,31,1405 Canal St,New Orleans,LA,Aerial Fitness,3
6cWYonq0PVIuh-gexmvWsA,Buttercup Pole Dance,5.0,21,3251 W Hillsborough Ave,Tampa,FL,Aerial Fitness,4
540vTtMkrSREQy72pGi7LA,Bumbershoot Aerial Arts Studio,5.0,13,2200 Gravois Ave,Saint Louis,MO,Aerial Fitness,5
-jlQofD5Qu3F4gpNHLsrOw,New Orleans Aerial Tours & Flight Training,5.0,21,5701 Walter Beech St,New Orleans,LA,Aerial Tours,1
A0CziPwSy6cF-pPmR80J9g,Air Adventures St. Pete-Clearwater,5.0,14,540 1st St SE,St. Petersburg,FL,Aerial Tours,2
7j4Z7gW6qSTdg0f_oOxq2w,HELI CO. New Orleans,5.0,11,"",New Orleans,LA,Aerial Tours,3
pHVwNKCJKnKJ2gHRwYli1Q,Volare Helicopters,5.0,8,9698 W Tucson-Ajo Hwy,Tucson,AZ,Aerial Tours,4
F3Hnqxul4Umb6fnzLh2VWA,Experience Vertical Flight,5.0,6,1000 North Hercules Ave,Clearwater,FL,Aerial Tours,5
P1etuKEZP-I0ojiiEEdblw,Serpent Skin and Care,5.0,16,440 E Girard Ave,Philadelphia,PA,Aestheticians,1
kKCGHJ4zqY6Vzlm8kY87Ww,Clarity MD,5.0,13,1200 W Carmel Dr,Carmel,IN,Aestheticians,2
HslnRI-WerWksmDp0OPxuA,Bliss Aesthetics,5.0,11,"7620 N Hartman Ln, Ste 172",Tucson,AZ,Aestheticians,3
cFA-MpZW8KueETdWkPcn8Q,Oksana's Facials,5.0,11,"22 N Milpas St, Ste D",Santa Barbara,CA,Aestheticians,4
3RWFtd2511f1sSOrNONUqA,Cortina Aesthetics,5.0,8,3 W Carrillo,Santa Barbara,CA,Aestheticians,5
6EKawoqscJ0IYNjtfpd0_w,Kabul Express STL,5.0,95,300 Hoffmeister Ave,St. Louis,MO,Afghan,1
2AIMA1qpy-O5G-YEbjI0lQ,Gyro Express,5.0,74,7 E State St,Trenton,NJ,Afghan,2
pvwdXO69MQKeAEFwcISnFA,Kabob On Wheels,5.0,60,1401 N Dupont Hwy,Wilmington Manor,DE,Afghan,3
cxHhdkZ1dQPyzno1oBdDxw,Sunshine Spice Bakery & Cafe,5.0,41,6911 W Fairview Ave,Boise,ID,Afghan,4
trH0bWrq9kwLoLHbvlPKmw,Villekebabs and Platters,5.0,21,1722 Sansom St,Philadelphia,PA,Afghan,5
B9MAfqhVw1AxNzwu2ELPtQ,The Horn,5.0,127,619 Murfreesboro Pike,Nashville,TN,African,1
Dq8xEHck5DugMQZVLDpwxA,Ethio Coffee House,5.0,65,"2131 Murfreesboro Pike, Ste 110",Nashville,TN,African,2
0fa2PVw89DprDu7Y6bmhpQ,Carnivore Meat Company,5.0,41,"230 Franklin Rd, Bldg 12F",Franklin,TN,African,3
9wTSBQFqVWbq-NEikPAs_g,Fudena,5.0,15,"",Philadelphia,PA,African,4
pvuaumnAjI-0MBQuo_QSww,African Naturals,5.0,9,4511 S Kingshighway Blvd,Saint Louis,MO,African,5
o_N7HiU3f6cVvrJAFrE43A,KC Carpet and Upholstery Cleaners,5.0,252,9309 Glenloch St,Philadelphia,PA,Air Duct Cleaning,1
lsjXJfDC3SIL8N7lmTEPag,3D Carpet Cleaning and Restoration,5.0,203,"6610 W Linebaugh Ave, Bay 23",Tampa,FL,Air Duct Cleaning,2
STEG37SqBC3PkwY4wgSoPg,Taylor Home Solutions,5.0,50,"",Nashville,TN,Air Duct Cleaning,3
rCXBILLkjEWQsNpsDo4oeQ,Max Impact Carpet Cleaning,5.0,50,"",Philadelphia,PA,Air Duct Cleaning,4
vsRW93JpieiWgLKloI8Mxw,Rasing Carpet & Air Duct Cleaning,5.0,34,"",Norristown,PA,Air Duct Cleaning,5
iDcF8e_s_3BIYLuxKrwijQ,Tom Wood Aviation,4.0,6,9913 Willow View Rd,Fishers,IN,Aircraft Dealers,1
iDcF8e_s_3BIYLuxKrwijQ,Tom Wood Aviation,4.0,6,9913 Willow View Rd,Fishers,IN,Aircraft Repairs,1
cz-rvxiHH5dz77t8WZWPiQ,Kliebert's Mobile Chip Repair,3.5,6,"",New Orleans,LA,Aircraft Repairs,2
hsZcdJ_1DHOd8N8lf7v90g,Doylestown Airport,3.0,6,3879 Old Easton Rd,Doylestown,PA,Aircraft Repairs,3
oJoaxJBju-RDKfC68HqDuQ,National Aviation Academy,2.5,5,6225 Ulmerton Rd,Clearwater,FL,Aircraft Repairs,4
KVNoXEIs-BLThEd2jh_Wtw,Santa Barbara Helicopter Tours,5.0,52,515 Marxmiller Pl,Goleta,CA,Airlines,1
IPJvPDPTfOwZHEoUNYbaEQ,Preferred Car & Limousine,5.0,18,"504 Rte 130 N, Ste 250",Cinnaminson,NJ,Airlines,2
Q4UP-mqHVE1exLE5dHFQPA,Limoport Transportation,5.0,17,"231 W Giaconda Way, Ste 133",Tucson,AZ,Airlines,3
hkWH7R9CE7SHBaxn1ZUbYQ,Nanco Helicopters,5.0,16,1601 Cook Pl,Santa Barbara,CA,Airlines,4
gvhP5mZf03NgPZ2znpHmpw,PHL Airport Transportation,5.0,11,2826 W Chester Pike,Broomall,PA,Airlines,5
7uMwPg2lmF_KscKo9lFCwQ,American Express century and lounge,5.0,5,"",Philadelphia,PA,Airport Lounges,1
KfwrjxMTV_kYi93cMDQzOw,Escape Lounges - The Centurion?? Studio Partner RNO,4.5,159,2001 E Plumb Ln,Reno,NV,Airport Lounges,2
CYkrmWef7QQM-l-92DKiSA,Wingtips Lounge,4.5,58,"10701 Lambert International Blvd, Terminal 2",St. Louis,MO,Airport Lounges,3
Kty0uTMPa8hzA6njYygooA,Delta Sky Club,4.5,23,7800 Col H Weir Cook Memorial Dr,Indianapolis,IN,Airport Lounges,4
Gsr4nJal_160MGlki3e9NQ,Delta Sky Club,4.5,5,"1 Terminal Dr, Concourse C",Kenner,LA,Airport Lounges,5
5K6N22b0_nAHHvmWKgIBVA,Eric 'Big E' Airport Transportation Service,5.0,192,"",New Orleans,LA,Airport Shuttles,1
pkOA1CkXFF_bRpnjrp5PYg,Preferred Limousine & Transportation,5.0,84,903 State St,Santa Barbara,CA,Airport Shuttles,2
CMcry7LtOB0FqRdw-6-Y1A,Riverbend Charters & Tours,5.0,60,"",New Orleans,LA,Airport Shuttles,3
DFEfjbZSMgXoft88GXZM1Q,Silk Road Transportation and Wine Tours,5.0,51,"",Santa Barbara,CA,Airport Shuttles,4
NlhEXGsDDpMdqZ6APCs8_w,Let's Just Ride,5.0,38,"650 Poydras, Ste 1400",New Orleans,LA,Airport Shuttles,5
amMgVZwG9vwfsyG74a9odg,Designated Driver Private Car Service,5.0,5,"",Marlton,NJ,Airport Terminals,1
CYkrmWef7QQM-l-92DKiSA,Wingtips Lounge,4.5,58,"10701 Lambert International Blvd, Terminal 2",St. Louis,MO,Airport Terminals,2
9jQi1B24naT6JOE3k9KQVg,Boise Express Taxi,4.5,6,5519 W Cassia St,Boise,ID,Airport Terminals,3
i1UAowqVH1cCkXudBRDwdA,Boise Airport,4.0,373,"3201 W Airport Way, Ste 1000",Boise,ID,Airport Terminals,4
puBy6T_ATSpae4vjbmwv3A,Main Terminal - TPA,4.0,15,4100 George J Bean Pkwy,Tampa,FL,Airport Terminals,5
DFEfjbZSMgXoft88GXZM1Q,Silk Road Transportation and Wine Tours,5.0,51,"",Santa Barbara,CA,Airports,1
VKP1gGSLalH5VjzPPc4w4w,Green City Taxi,5.0,32,1150 Miller St,Boise,ID,Airports,2
Aru3m_MQgv6gLcHdnhD3Hg,Emerald Luxury Transportation,5.0,16,"1321 Murfreesboro Pike, Ste 500",Nashville,TN,Airports,3
ZIJ4CBC-hSawhM7w7JetSQ,Reno Stead Airport,5.0,12,4895 Texas Ave,Reno,NV,Airports,4
gvhP5mZf03NgPZ2znpHmpw,PHL Airport Transportation,5.0,11,2826 W Chester Pike,Broomall,PA,Airports,5
dQDm_6jptc12SvwSO0pCvA,Bing Shop,5.0,5,211 E Vandalia St,Edwardsville,IL,Airsoft,1
W4Vlk15ExGdnoaHgBBW1iA,Disruptive Paintball & Airsoft Field,4.5,21,10218 W Tangerine Rd,Marana,AZ,Airsoft,2
banvthjCISG3s4Qx7bGFLg,Nerfed,4.5,16,5878 W Franklin Rd,Boise,ID,Airsoft,3
BkR07ZHhySZBadHL_Xx5YQ,Outdoor Xtreme Hatfield,4.0,19,307 Swartley Rd,Hatfield,PA,Airsoft,4
QMHhFEI3GKn6u1e99PUO7w,Nashville Airsoft,4.0,19,406 Davidson St,Nashville,TN,Airsoft,5
v-kxPr8zbEivzC3OktbCag,"Scott M Greene, MD",5.0,12,6540 4th St N,Saint Petersburg,FL,Allergists,1
NSTkwzQwAheuuTCjCvRVmA,"Tubiolo Vincent, MD",5.0,9,"2320 Bath St, Ste 303",Santa Barbara,CA,Allergists,2
2AwPSsKNXm__P7mZidO3gQ,Uptown Allergy & Asthma,5.0,8,2622 Jena St,New Orleans,LA,Allergists,3
bZrdBHBACHjvkGGAGtRnHQ,"Robert J Winn, MD - Real Wellness",5.0,8,"575 Haddon Ave, Unit 1, Real Wellness",Collingswood,NJ,Allergists,4
GtOW4LgyGJPxn3hxDGjFLg,"David L Schneider, MD",5.0,6,"3225 Danny Park, Ste 100",Metairie,LA,Allergists,5
ltLk0M4vd4CzMXdzv5rZ0A,FLOAT STL - Midtown,5.0,46,3027 Locust St,Saint Louis,MO,Alternative Medicine,1
eMdE9Jofj5_8A_53ELnP8A,Peaceful Warriors Wellness Center,5.0,39,19 Dr Martin Luther King Jr St S,St Petersburg,FL,Alternative Medicine,2
rRYHEKQIdiBa1z681ZWMBA,Rapid Recovery Hydration Solutions,5.0,37,"9570 S McCarran Blvd, Ste 108",Reno,CA,Alternative Medicine,3
ysxJ2Ieg1dfjlIhQ1UtURQ,IntraVenous Solutions,5.0,22,"2817 W End Ave, Ste 135",Nashville,TN,Alternative Medicine,4
vKPXJCvlFvQWOx3-zNaehg,The Art of Medicine,5.0,19,1335 Mt Vernon St,Philadelphia,PA,Alternative Medicine,5
jvCNijeK9ZOf2Vb6pGNySg,Bury The Hatchet,5.0,153,"1719 Washington Ave, Fl 2",Philadelphia,PA,Amateur Sports Teams,1
xW4SUlN-xMJplSdXw_TMVw,The Axe House,5.0,38,20 Meremac Valley Plaza Dr,Valley Park,MO,Amateur Sports Teams,2
AV40aCwMnAeMRJRdt2pFGA,Gracie Barra Brazilian Jiu-Jitsu,5.0,21,1014 State St,Santa Barbara,CA,Amateur Sports Teams,3
-BvpRtFulI1rUkXEOXX3Tg,CrossFit Roux,5.0,20,"3511 River Rd, D",Jefferson,LA,Amateur Sports Teams,4
ewHB0gOdZZeQlkjvvST3-w,ZogSports,5.0,12,"",Philadelphia,PA,Amateur Sports Teams,5
yOoTTOsIBk10XCszYVnrDQ,AJ's Press,5.0,376,3224 W Tampa Bay Blvd,Tampa,FL,American (New),1
oLOVznE7BzEqwVK3Yim_gQ,Campione's Taste of Chicago,5.0,206,"179 Hancock St, Ste 208",Gallatin,TN,American (New),2
8Lbz0hfE4MWzd7yDu9atBA,Uncorked Wine Tasting and Kitchen,5.0,146,432 E Haley St,Santa Barbara,CA,American (New),3
QQHYGzspSIURR9Uw5jv5aA,Brown Bag,5.0,133,420 Cool Springs Blvd,Franklin,TN,American (New),4
ZwRM2qsGJT_fkQx_MDZF8g,Akar,5.0,123,7641 Wydown Blvd,St. Louis,MO,American (New),5
_aKr7POnacW_VizRKBpCiA,Blues City Deli,5.0,991,2438 McNair Ave,Saint Louis,MO,American (Traditional),1
yOoTTOsIBk10XCszYVnrDQ,AJ's Press,5.0,376,3224 W Tampa Bay Blvd,Tampa,FL,American (Traditional),2
3NmMVlz6sFsBJsVaPtm12A,Tasty And Delicious,5.0,260,"4813 Nolensville Pike, Ste 206A",Nashville,TN,American (Traditional),3
8Lbz0hfE4MWzd7yDu9atBA,Uncorked Wine Tasting and Kitchen,5.0,146,432 E Haley St,Santa Barbara,CA,American (Traditional),4
YnGlopjmCYM6Pw07qt9bfw,Mio???s Grill & Cafe,5.0,114,119 2nd St N,St. Petersburg,FL,American (Traditional),5
P2lgVD6rQVmOaPlYBeru9Q,Break Through Reno,5.0,335,"2500 E 2nd St, Ground Fl - Grand Sierra",Reno,NV,Amusement Parks,1
SHuyy2oBLUy1432-U1etLQ,Splitting Timber Axe Range Tucson,5.0,79,"6401 W Marana Center Blvd, Tucson Premium Outlets",Tucson,AZ,Amusement Parks,2
cubwl_rsi7GCE5d7fev5Ww,Tampa Bay Escape Room,5.0,52,625 Cleveland St,Clearwater,FL,Amusement Parks,3
sjtXJIECMqAxngKy97-_wQ,Outerlife Studios - Escape Room St Pete,5.0,46,1942 2nd Ave S,Saint Petersburg,FL,Amusement Parks,4
cqQVdbA7fa35MnjJc09Xpg,SimCenter Tampa Bay,5.0,31,483 Mandalay Ave,Clearwater,FL,Amusement Parks,5
eRlYLkIbXQn2NVHfjRGQHQ,Integrative Pain Clinic,4.5,11,1572 McDaniel Dr,West Chester,PA,Anesthesiologists,1
YhmH8jSNZ-CQul2qgHPI8w,The Dental Anesthesia Center,4.0,9,"950 Francis Pl, Ste 305",Saint Louis,MO,Anesthesiologists,2
QTUXDjX-KCwDoacbD0JiBQ,"Haddon Oral Surgeons, PA",4.0,5,475 Old Marlton Pike W,Marlton,NJ,Anesthesiologists,3
x4I7oJNSExt0JZ6JaQUoMQ,Millennium Pain Management,4.0,5,"13131 Tesson Ferry Rd, Ste 105",Saint Louis,MO,Anesthesiologists,4
IwemMo-mNgUp5WpHqZeMIA,Brandon Surgery Center,3.0,16,711 S Parsons Ave,Brandon,FL,Anesthesiologists,5
gcnCoBwtZB1V7JbT8obeIw,Montgomery Animal Hospital,4.0,17,827 Bethlehem Pike,Flourtown,PA,Animal Assisted Therapy,1
AT7TxxCcOGCCC4zVFjS2ug,WAG: Whole Animal Gym,5.0,32,611 S 2nd St,Philadelphia,PA,Animal Physical Therapy,1
OlxFNsvbQQWAgQ0F_E_S8w,Animal Ark Animal Hospital,4.5,22,1115 W McEwen Dr,Franklin,TN,Animal Physical Therapy,2
47e29_76Vn5XOfpLLUnm3A,Ah-Mazing Massage,4.5,8,"901 Old Marlton Pike, Ste A5",Marlton,NJ,Animal Physical Therapy,3
zhFONN1m6MzdVcK8QjEljA,Premier Pet Services,4.5,8,4325 Main St,Philadelphia,PA,Animal Physical Therapy,4
XuHV-bNtFJOKrww0-OhZ8g,Atlas Rehabilitation For Canines,4.5,6,3208 State St,Santa Barbara,CA,Animal Physical Therapy,5
s96P81Kebfqv3R4cf3QYGQ,Crescent City Cat Club,5.0,12,1021 Marigny St,New Orleans,LA,Animal Shelters,1
JMxNXrZi9J0qxxsNcCjbIA,Hounds Town - Nashville,5.0,8,"288 Hermitage Ave, Ste C",Nashville,TN,Animal Shelters,2
H2OnGJqvNPwW1OMk-W5fTA,Tenth Life Cat Rescue,5.0,7,3202 Cherokee St,Saint Louis,MO,Animal Shelters,3
JgF69cz8aDZoSl1R0AwhWQ,Ruth Melichar Bird Center - Animals In Distress Association,5.0,7,4650 N 36th St,Boise,ID,Animal Shelters,4
oX1e0xz9C96sk34I1dHjJQ,Kitty Kingdom,5.0,7,3628 Wood Bridge Dr,Nashville,TN,Animal Shelters,5
A4E8e6ICfwS8V7hJYaCXAQ,The Sacred Space,5.0,132,2594 Lillie Ave,Summerland,CA,Antiques,1
yI2T1uZf_3M7c_uY6McAaQ,Natural Selection,5.0,63,39 St Lawrence Ave,Reno,NV,Antiques,2
jRUMx5_klPfszKmB9PmEgQ,Bella Rosa Galleries,5.0,48,"1103 State St, Ste A",Santa Barbara,CA,Antiques,3
_nOctXNUOeIrGmQdqLP8kQ,Wolf's Head,5.0,46,27 1/2 E Victoria St,Santa Barbara,CA,Antiques,4
ZPQ-MFNlklSHu7xt08lRkw,Boomerang Boutique,5.0,35,845B Massachusetts Ave,Indianapolis,IN,Antiques,5
MAJDLOy-gjQVOwJBDiCcXQ,Peyton Stakes,3.5,14,1401 3rd Ave N,Nashville,TN,Apartment Agents,1
uNyEsYeoKT3H4AUjrcsvCg,Knickerbocker Properties,2.5,20,"2118 Washington Ave, Ste 2000",Philadelphia,PA,Apartment Agents,2
drpQMDq5sBZ8PVKk7JYvpA,Infinity Westshore Apartments by Greystar,2.5,10,4800 S West Shore Blvd,Tampa,FL,Apartment Agents,3
zW6q5TU4_GCWzfAdKTXW0w,Lakeview Apartments,2.0,5,590 Lower Landing Rd,Blackwood,NJ,Apartment Agents,4
i9n3DzCkmWDfiJ7yzTxPJg,Philly Home Girls,5.0,109,"2006 Frankford Ave, Ste 103",Philadelphia,PA,Apartments,1
ZG9mVw-YfoyyKVEfDF_qpQ,Robin Apartments,5.0,79,2003 Chestnut St,Philadelphia,PA,Apartments,2
D87XUilaI0oKbpS7On78ag,Nashville Apartment Locators,5.0,76,"700 Craighead St, Ste 200",Nashville,TN,Apartments,3
IuLBhQTVsn-XIYk_n36NEg,The Metropolitan,5.0,16,The Metropolitan,Philadelphia,PA,Apartments,4
